timestamp,trigger_value,status,sound_type,freq_level,db_level,block,trial_index
1746261362.56172,43,trial_end,小提琴,中,50,0,54
1746261363.5702996,171,trial_start,小提琴,中,50,0,55
1746261364.0830653,43,trial_end,小提琴,中,50,0,55
1746261365.091552,171,trial_start,小提琴,中,50,0,56
1746261365.6191177,43,trial_end,小提琴,中,50,0,56
1746261366.6274087,171,trial_start,小提琴,中,50,0,57
1746261367.1398382,43,trial_end,小提琴,中,50,0,57
1746261368.1475136,171,trial_start,小提琴,中,50,0,58
1746261368.6601188,43,trial_end,小提琴,中,50,0,58
1746261369.6684723,171,trial_start,小提琴,中,50,0,59
1746261370.1814387,43,trial_end,小提琴,中,50,0,59
1746261371.1896448,169,trial_start,小提琴,中,20,0,60
1746261371.7016408,41,trial_end,小提琴,中,20,0,60
1746261372.710065,171,trial_start,小提琴,中,50,0,61
1746261373.2219884,43,trial_end,小提琴,中,50,0,61
1746261374.23029,171,trial_start,小提琴,中,50,0,62
1746261374.7587826,43,trial_end,小提琴,中,50,0,62
1746261375.7676399,171,trial_start,小提琴,中,50,0,63
1746261376.2795892,43,trial_end,小提琴,中,50,0,63
1746261377.2882326,171,trial_start,小提琴,中,50,0,64
1746261377.816344,43,trial_end,小提琴,中,50,0,64
1746261378.8240905,169,trial_start,小提琴,中,20,0,65
1746261379.353112,41,trial_end,小提琴,中,20,0,65
1746261380.3607125,171,trial_start,小提琴,中,50,0,66
1746261380.8889089,43,trial_end,小提琴,中,50,0,66
1746261381.8981311,171,trial_start,小提琴,中,50,0,67
1746261382.426057,43,trial_end,小提琴,中,50,0,67
1746261383.4338496,171,trial_start,小提琴,中,50,0,68
1746261383.9619536,43,trial_end,小提琴,中,50,0,68
1746261384.9704125,171,trial_start,小提琴,中,50,0,69
1746261385.4994972,43,trial_end,小提琴,中,50,0,69
1746261386.5077324,170,trial_start,小提琴,中,35,0,70
1746261387.0360618,42,trial_end,小提琴,中,35,0,70
1746261388.0441618,171,trial_start,小提琴,中,50,0,71
1746261388.5724516,43,trial_end,小提琴,中,50,0,71
1746261389.580885,171,trial_start,小提琴,中,50,0,72
1746261390.109292,43,trial_end,小提琴,中,50,0,72
1746261391.1173108,171,trial_start,小提琴,中,50,0,73
1746261391.6447413,43,trial_end,小提琴,中,50,0,73
1746261392.6537538,171,trial_start,小提琴,中,50,0,74
1746261393.182101,43,trial_end,小提琴,中,50,0,74
1746261394.1905174,171,trial_start,小提琴,中,50,0,75
1746261394.7190673,43,trial_end,小提琴,中,50,0,75
1746261395.7273715,173,trial_start,小提琴,中,80,0,76
1746261396.254965,45,trial_end,小提琴,中,80,0,76
1746261397.264075,169,trial_start,小提琴,中,20,0,77
1746261397.7921512,41,trial_end,小提琴,中,20,0,77
1746261398.7998326,171,trial_start,小提琴,中,50,0,78
1746261399.328792,43,trial_end,小提琴,中,50,0,78
1746261400.337011,173,trial_start,小提琴,中,80,0,79
1746261400.8650799,45,trial_end,小提琴,中,80,0,79
1746261401.8733885,171,trial_start,小提琴,中,50,0,80
1746261402.401538,43,trial_end,小提琴,中,50,0,80
1746261403.4104636,171,trial_start,小提琴,中,50,0,81
1746261403.9377074,43,trial_end,小提琴,中,50,0,81
1746261404.946874,172,trial_start,小提琴,中,65,0,82
1746261405.4752097,44,trial_end,小提琴,中,65,0,82
1746261406.4832387,171,trial_start,小提琴,中,50,0,83
1746261406.9950802,43,trial_end,小提琴,中,50,0,83
1746261408.0040927,170,trial_start,小提琴,中,35,0,84
1746261408.5321538,42,trial_end,小提琴,中,35,0,84
1746261409.5405152,171,trial_start,小提琴,中,50,0,85
1746261410.0682096,43,trial_end,小提琴,中,50,0,85
1746261411.077148,171,trial_start,小提琴,中,50,0,86
1746261411.5896392,43,trial_end,小提琴,中,50,0,86
1746261412.59788,171,trial_start,小提琴,中,50,0,87
1746261413.126265,43,trial_end,小提琴,中,50,0,87
1746261414.1344063,171,trial_start,小提琴,中,50,0,88
1746261414.6619856,43,trial_end,小提琴,中,50,0,88
1746261415.6708596,170,trial_start,小提琴,中,35,0,89
1746261416.1992414,42,trial_end,小提琴,中,35,0,89
1746261417.2072856,173,trial_start,小提琴,中,80,0,90
1746261417.735855,45,trial_end,小提琴,中,80,0,90
1746261418.7442508,170,trial_start,小提琴,中,35,0,91
